file,group,MJD,seeing,ra,dec,gain,readnoise,date
h_e_20140319_31_1_1_1.fits,4,56735.881545,6.522803,10:01:24.413,+02:21:09.60,1.62,8.0,2014-03-19T21:09:25.521
h_e_20150506_18_1_1_1.fits,2,57148.885087,966.0,10:02:03.749,+02:31:11.32,1.62,8.0,2015-05-06T21:14:31.497
h_e_20140128_73_1_1_1.fits,8,56686.005605,3.995969,10:02:03.921,+02:11:14.72,1.62,8.0,2014-01-29T00:08:04.266
h_e_20150226_26_1_1_1.fits,6,57079.919609,6.737111,10:00:44.730,+02:11:12.50,1.62,8.0,2015-02-26T22:04:14.235
h_e_20150212_39_1_1_1.fits,6,57065.982886,7.049897,10:00:44.995,+02:11:09.69,1.62,8.0,2015-02-12T23:35:21.380
h_e_20150406_14_1_1_1.fits,3,57118.866948,4.729135,10:00:43.536,+02:21:10.45,1.62,8.0,2015-04-06T20:48:24.307
h_e_20140407_30_1_1_1.fits,7,56754.916257,4.829685,10:01:24.291,+02:11:06.37,1.62,8.0,2014-04-07T21:59:24.641
h_e_20150408_9_1_1_1.fits,0,57120.867716,3.106116,10:00:43.675,+02:31:10.42,1.62,8.0,2015-04-08T20:49:30.652
h_e_20150430_8_1_1_1.fits,5,57142.867079,3.059845,10:02:03.513,+02:21:11.15,1.62,8.0,2015-04-30T20:48:35.663
h_e_20150418_18_1_1_1.fits,5,57130.879335,4.153175,10:02:03.680,+02:21:05.72,1.62,8.0,2015-04-18T21:06:14.557
h_e_20150501_16_1_1_1.fits,6,57143.867895,2.573267,10:00:43.636,+02:11:12.12,1.62,8.0,2015-05-01T20:49:46.128
h_e_20140306_21_1_1_1.fits,5,56722.866969,8.909106,10:02:03.276,+02:21:08.12,1.62,8.0,2014-03-06T20:48:26.083
h_e_20140104_64_1_1_1.fits,5,56662.051633,13.70778,10:02:03.877,+02:21:06.91,1.62,8.0,2014-01-05T01:14:21.062
h_e_20150327_20_1_1_1.fits,3,57108.923692,3.082046,10:00:43.863,+02:21:13.72,1.62,8.0,2015-03-27T22:10:06.980
